	sex	Age	major group3	year	gpax	Region	previous-edu	uni-activity	influ-major	influ-people	influ-wellknown	influ-quality	influ-careermarket	TYPE
371	1	3	6	3	1	3	1	0	0	1	1	0	2	5
372	0	3	1	2	4	2	1	1	0	2	2	2	2	6
373	2	3	6	1	2	3	2	1	0	0	0	0	2	6
374	1	0	6	1	4	3	1	0	2	0	2	0	2	14
375	1	0	1	2	1	0	3	1	0	0	2	0	2	6
376	1	0	1	3	1	0	5	1	0	2	0	0	2	6
377	1	3	2	4	1	3	1	0	2	2	0	0	1	4
378	2	0	1	2	2	0	0	1	0	0	0	0	0	6
379	0	3	2	1	1	1	2	0	1	0	2	1	2	0
380	2	0	1	2	1	2	3	1	2	0	0	0	0	6
381	2	3	2	3	2	2	2	1	0	2	0	0	0	6
382	1	3	1	2	1	2	1	1	2	0	2	1	0	3
383	1	3	0	1	1	4	1	0	0	1	0	0	1	9
384	1	3	1	1	4	2	5	1	0	0	0	0	0	6
385	1	3	1	2	1	2	1	1	2	0	0	2	2	4
386	1	3	1	1	2	2	1	1	0	2	0	0	0	6
387	1	3	1	2	1	2	1	0	2	2	2	2	2	3
388	1	3	0	1	1	4	1	0	0	2	0	0	2	2
389	0	3	1	4	1	2	5	1	0	2	0	0	0	6
390	1	0	4	4	2	0	2	1	0	2	0	0	0	6
391	1	3	1	2	4	2	1	1	2	2	0	1	2	2
392	1	3	7	3	1	4	1	0	2	0	2	2	2	8
393	2	0	1	2	2	2	3	1	0	0	0	0	0	6
394	0	3	6	4	1	4	1	0	1	1	0	2	1	3
395	1	0	2	0	2	2	2	1	0	2	0	0	0	4
396	1	3	1	4	2	2	3	1	0	0	0	0	0	6
397	1	3	6	1	1	4	1	0	2	0	2	1	1	3
398	2	0	7	4	1	2	5	1	0	2	0	0	2	6
399	0	3	1	4	1	2	5	1	0	0	0	0	0	6
400	2	3	2	1	1	5	2	0	2	2	2	0	2	7
401	2	3	1	4	1	2	3	1	0	0	0	0	0	6
402	1	0	7	0	2	1	5	1	0	0	2	0	2	6
403	1	3	2	3	1	0	2	0	2	0	0	0	2	5
404	2	0	1	4	2	5	3	1	0	0	0	0	0	6
405	1	3	1	1	2	2	5	1	0	2	0	0	0	6
406	1	3	0	1	1	5	1	0	2	0	0	0	1	15
407	0	3	1	4	4	2	5	1	2	1	2	2	2	14
408	2	3	6	3	1	2	3	1	0	0	0	0	0	6
409	1	3	0	1	1	0	1	0	2	0	2	1	1	11
410	1	3	1	4	1	2	5	1	1	2	2	0	2	12
411	1	3	1	1	2	0	3	1	0	2	0	0	0	6
412	2	3	1	4	4	2	5	1	1	1	0	2	0	7
413	1	0	6	2	2	2	3	1	0	0	0	0	0	7
414	0	3	1	4	1	2	1	1	0	0	0	1	2	3
415	1	3	2	1	1	0	2	0	2	0	0	0	2	6
416	0	3	0	3	2	0	1	1	0	0	0	0	0	6
417	2	3	6	2	1	2	3	1	0	0	0	2	2	5
418	1	3	0	1	1	0	2	0	2	2	0	0	2	13
419	0	0	6	4	1	2	5	1	0	0	0	0	0	6
420	1	3	1	4	1	2	1	1	0	2	0	2	2	2
421	2	3	6	4	1	2	5	1	0	0	0	0	0	6
422	1	3	1	4	4	2	1	0	1	2	0	0	1	7
423	1	3	6	3	1	2	3	1	0	0	0	0	2	6
424	2	0	3	3	1	2	3	1	2	0	0	0	0	6
425	2	3	1	4	2	2	1	0	2	2	2	2	2	4
426	2	0	6	4	1	2	3	1	0	0	0	0	0	6
427	2	3	1	4	1	2	1	1	0	1	2	2	0	8
428	0	3	1	4	1	2	1	1	2	2	2	2	2	2
429	1	3	6	4	1	2	3	1	0	0	0	1	2	7
430	1	3	1	4	1	2	1	1	2	0	2	0	2	14
431	2	0	6	4	1	2	3	1	0	0	2	0	0	7
432	1	3	6	3	1	2	3	1	1	0	0	0	0	5
433	0	3	6	4	1	2	3	1	0	0	0	0	1	6
434	1	3	6	4	1	2	3	1	2	0	0	0	0	6
435	0	0	6	2	1	2	3	1	2	2	2	0	0	12
436	1	3	6	1	1	2	5	1	0	2	1	0	1	6
437	2	0	6	4	1	2	5	1	0	0	0	0	0	6
438	2	0	6	4	1	2	5	1	0	2	0	2	2	5
439	1	0	6	2	1	2	3	1	0	0	2	1	2	6
440	1	3	6	3	1	2	5	1	0	1	2	0	0	6
441	2	3	6	3	4	2	5	1	2	2	2	0	0	6
442	1	3	6	3	4	2	5	1	0	1	2	0	0	6
443	1	3	6	4	1	2	5	1	0	2	0	0	0	6
444	2	3	6	4	4	2	3	1	0	2	2	0	0	0
445	1	3	6	4	4	2	5	1	0	2	1	0	0	3
446	0	3	6	3	1	2	3	1	0	0	0	1	2	5
447	0	3	0	3	1	0	3	1	0	2	2	2	2	9
448	1	3	0	3	1	0	3	1	0	0	0	0	2	1
449	0	0	0	2	1	0	5	1	0	0	0	2	2	6
450	1	0	0	3	1	0	3	1	2	0	0	0	0	14
451	1	0	0	4	1	0	5	1	2	2	0	0	2	13
452	1	3	6	3	1	2	1	1	0	2	2	2	2	10
453	1	3	6	3	1	2	1	1	1	2	1	2	2	4
454	1	3	6	3	4	2	1	1	0	2	2	2	2	10
455	2	3	6	3	2	2	1	1	0	1	2	2	2	6
456	1	3	6	3	1	2	1	1	1	2	2	1	0	6
